employee_id,rating,year
EMP100000,2.0,2021
EMP100001,,2021
EMP100002,2.0,2021
EMP100003,,2021
EMP100004,3.0,2021
EMP100005,,2021
EMP100006,4.0,2021
EMP100007,4.0,2021
EMP100008,5.0,2021
EMP100009,,2021
EMP100010,2.0,2021
EMP100011,3.0,2021
EMP100012,,2021
EMP100013,,2021
EMP100014,2.0,2021
EMP100015,3.0,2021
EMP100016,2.0,2021
EMP100017,3.0,2021
EMP100018,3.0,2021
EMP100019,4.0,2021
EMP100020,3.0,2021
EMP100021,5.0,2021
EMP100022,4.0,2021
EMP100023,3.0,2021
EMP100024,3.0,2021
EMP100025,,2021
EMP100026,3.0,2021
EMP100027,,2021
EMP100028,,2021
EMP100029,4.0,2021
EMP100030,1.0,2021
EMP100031,4.0,2021
EMP100032,3.0,2021
EMP100033,3.0,2021
EMP100034,3.0,2021
EMP100035,2.0,2021
EMP100036,3.0,2021
EMP100037,1.0,2021
EMP100038,4.0,2021
EMP100039,4.0,2021
EMP100040,1.0,2021
EMP100041,1.0,2021
EMP100042,1.0,2021
EMP100043,5.0,2021
EMP100044,,2021
EMP100045,2.0,2021
EMP100046,3.0,2021
EMP100047,4.0,2021
EMP100048,3.0,2021
EMP100049,5.0,2021
EMP100050,2.0,2021
EMP100051,4.0,2021
EMP100052,,2021
EMP100053,5.0,2021
EMP100054,,2021
EMP100055,4.0,2021
EMP100056,5.0,2021
EMP100057,3.0,2021
EMP100058,3.0,2021
EMP100059,1.0,2021
EMP100060,4.0,2021
EMP100061,,2021
EMP100062,4.0,2021
EMP100063,5.0,2021
EMP100064,4.0,2021
EMP100065,4.0,2021
EMP100066,3.0,2021
EMP100067,3.0,2021
EMP100068,2.0,2021
EMP100069,,2021
EMP100070,4.0,2021
EMP100071,3.0,2021
EMP100072,2.0,2021
EMP100073,2.0,2021
EMP100074,5.0,2021
EMP100075,3.0,2021
EMP100076,,2021
EMP100077,2.0,2021
EMP100078,5.0,2021
EMP100079,3.0,2021
EMP100080,4.0,2021
EMP100081,4.0,2021
EMP100082,3.0,2021
EMP100083,,2021
EMP100084,,2021
EMP100085,,2021
EMP100086,,2021
EMP100087,,2021
EMP100088,4.0,2021
EMP100089,3.0,2021
EMP100090,4.0,2021
EMP100091,,2021
EMP100092,3.0,2021
EMP100093,1.0,2021
EMP100094,1.0,2021
EMP100095,2.0,2021
EMP100096,3.0,2021
EMP100097,0.0,2021
EMP100098,4.0,2021
EMP100099,2.0,2021
EMP100100,4.0,2021
EMP100101,4.0,2021
EMP100102,,2021
EMP100103,4.0,2021
EMP100104,5.0,2021
EMP100105,,2021
EMP100106,4.0,2021
EMP100107,4.0,2021
EMP100108,3.0,2021
EMP100109,,2021
EMP100110,2.0,2021
EMP100111,3.0,2021
EMP100112,,2021
EMP100113,4.0,2021
EMP100114,,2021
EMP100115,2.0,2021
EMP100116,1.0,2021
EMP100117,4.0,2021
EMP100118,4.0,2021
EMP100119,,2021
EMP100120,4.0,2021
EMP100121,4.0,2021
EMP100122,,2021
EMP100123,2.0,2021
EMP100124,,2021
EMP100125,4.0,2021
EMP100126,3.0,2021
EMP100127,3.0,2021
