employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100000,86,75,SI,Steadiness-Influencer,,94.0,33.0,2
EMP100001,48,52,DS,Dominant-Steadiness,INTP,94.0,17.0,3
EMP100002,66,38,DC,Dominant-Conscientious,,109.0,20.0,3
EMP100003,39,63,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3
EMP100004,75,100,,Steadiness-Conscientious,INTJ,134.0,21.0,9
EMP100005,69,35,DC,Dominant-Conscientious,,130.0,21.0,7
EMP100006,94,24,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6
EMP100007,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4
EMP100008,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1
EMP100009,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4
EMP100010,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2
EMP100011,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10
EMP100012,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10
EMP100013,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9
EMP100014,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7
EMP100015,65,77,DC,Dominant-Conscientious,ENFP,,,7
EMP100016,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5
EMP100017,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1
EMP100018,66,69,SC,Steadiness-Conscientious,ESFJ,,28.0,3
EMP100019,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10
EMP100020,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1
EMP100021,22,34,CS,Conscientious-Steadiness,INFP,,,2
EMP100022,49,94,,Influencer-Conscientious,ISTP,91.0,35.0,8
EMP100023,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5
EMP100024,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5
EMP100025,53,71,CS,Conscientious-Steadiness,ESTJ,,34.0,8
EMP100026,96,37,IS,Influencer-Steadiness,ESFJ,107.0,32.0,4
EMP100027,93,76,SC,Steadiness-Conscientious,INFP,97.0,18.0,9
EMP100028,95,71,SI,Steadiness-Influencer,INFP,107.0,20.0,3
EMP100029,93,85,DC,Dominant-Conscientious,INTP,105.0,29.0,10
